parent,name,type
,6514,
6514,6512,1
6514,20875,1
6512,644,1
644,551,1
644,1623,1
644,6513,1
644,6515,1
644,6516,1
644,6517,1
644,6518,1
644,6519,1
644,6520,1
644,6521,1
644,6522,1
644,6523,1
644,6524,1
644,6525,1
644,6526,1
644,6531,1
6531,13268,1
6531,113998,1
6531,113999,1
6531,114000,1
6524,17565,1
6524,30038,1
6524,28907,1
6524,49753,1
6524,91871,1
6524,17567,2
6524,24161,2
24161,56923,1
24161,56938,1
24161,72237,2
17567,689048,1
17567,689049,1
28907,28909,1
28907,28911,1
28907,82767,1
28907,82768,1
28907,82769,1
28907,75216,1
28907,670788,1
30038,90748,1
30038,59679,1
30038,500934,1
17565,86420,2
6520,113996,1
6519,113995,1
1623,706,1
1623,1958,1
1623,10670,1
1623,49396,1
49396,49395,1
49396,130988,1
1958,12552,1
1958,1957,2
1958,28676,2
1958,81868,2
706,1001,1
706,2558,1
706,8771,1
706,9389,1
706,9390,1
706,9391,1
706,9392,1
706,9394,1
706,9395,1
706,9398,1
706,9399,1
706,12570,1
706,62988,1
706,353945,1
706,2721,2
706,4435,2
706,7503,2
706,9393,2
706,9396,2
706,9397,2
706,44664,2
9397,52334,2
4435,4439,1
4435,12132,1
4435,26623,1
4435,91574,1
4435,10283,1
4435,11194,1
4435,686096,1
4435,679779,2
9391,20253,2
9389,30880,1
9389,3562,1
9389,808,2
8771,38079,1
8771,8772,2
8771,8793,2
8771,7883,2
8771,26312,2
2558,27340,1
2558,93014,1
2558,33127,1
2558,19197,1
2558,32816,1
551,6083,1
551,7174,1
551,56387V,1
551,550,1
551,5169,1
551,5168,1
551,1634,1
551,154869,1
551,154870,1
551,154871,1
551,272,2
551,3739,2
551,3740,2
551,5170,2
551,5171,2
551,5599,2
551,7324,2
551,9805,2
551,11188,2
551,12721,2
551,22397,2
551,1413,2
551,20272,2
551,32888,2
551,32889,2
551,13222,2
551,52577,2
551,14984,2
551,5598,2
52577,52569,1
52577,132204,1
52577,132205,1
52577,132206,1
52577,64259,1
52577,70182,1
52577,686347,1
1413,663893,1
1413,663892,1
22397,120652,1
22397,120653,1
22397,120654,1
11188,16572,1
7324,47993,2
5599,82689,1
5599,157491,1
5599,28848,2
3740,3738,1
3740,8933,1
3740,11642,1
3740,26194,1
3740,26195,1
3740,26196,1
3740,26197,1
3740,995,2
3740,9949,2
3740,26190,2
3740,26191,2
3740,26193,2
3740,18429,2
3740,26198,2
3740,69320,2
3740,56387R,2
9949,16353,3
9949,16354,1
9949,16360,3
9949,16361,1
9949,20360,1
9949,59825,1
9949,59827,3
9949,59834,1
9949,59835,1
9949,687321,1
9949,687322,1
9949,3183,2
9949,16352,2
9949,16365,2
9949,16303,2
9949,59831,2
9949,32861,2
9949,59833,2
9949,687315,2
9949,687317,2
9949,690706,2
16365,49329,1
16353,59832,1
995,83355,1
995,93239,2
3739,25071,1
3739,156462,1
3739,5297,2
3739,18873,2
3739,64582,2
5297,8109,1
5297,12604,1
5297,31798,1
272,2670,1
272,154740,1
272,243,2
272,21407,2
272,28878,2
272,30540,2
272,9939,2
272,49727,2
9939,31429,2
30540,55116,1
21407,30196,2
243,12405,1
550,2964,1
550,20611,1
550,78512,1
550,104003,1
550,7566,2
550,155744,2
550,70282,2
